id,question,category,mode,answer,trust_score,n_claims,verdict
T01,Who ruled Jhansi before the revolt?,person,graph,Rani Lakshmibai ruled Jhansi [https://en.wikipedia.org/wiki/Rani_of_Jhansi].,1.0,1,correct
T01,Who ruled Jhansi before the revolt?,person,hybrid,"Rani Lakshmibai ruled Jhansi [Source: [3], [4]].",1.0,1,correct
T01,Who ruled Jhansi before the revolt?,person,vector,"The Raja of Jhansi ruled Jhansi before the revolt. [1] He died without a biological male heir in 1853, leading to the annexation of Jhansi to the British Raj by the Governor-General of India under the doctrine of lapse. [1, 2]",0.5,2,wrong
T02,Who did Rani Lakshmibai fight against during the Siege of Jhansi?,person,graph,Rani Lakshmibai fought against the British East India Company [https://en.wikipedia.org/wiki/Rani_of_Jhansi] and Hugh Rose [https://en.wikipedia.org/wiki/Rani_of_Jhansi]. The Siege of Jhansi was also caused by the Doctrine of Lapse [https://en.wikipedia.org/wiki/Doctrine_of_lapse].,1.0,2,correct
T02,Who did Rani Lakshmibai fight against during the Siege of Jhansi?,person,hybrid,"Rani Lakshmibai fought against Hugh Rose during the Siege of Jhansi [https://en.wikipedia.org/wiki/Rani_of_Jhansi], and the British East India Company [https://en.wikipedia.org/wiki/Rani_of_Jhansi]. [1, 2, 4]",0.0,2,partial
T02,Who did Rani Lakshmibai fight against during the Siege of Jhansi?,person,vector,"The Rani Lakshmibai fought against the British and the kingdoms of Orchha and Datia during the Siege of Jhansi. [2, 3, 5] She also fought against Tatya Tope and Sada Sheo Rao. [1, 4]",0.0,2,hallucinated
T03,Who was Rani Lakshmibai allied with during the revolt?,person,graph,Rani Lakshmibai was allied with Tantia Tope [https://en.wikipedia.org/wiki/Rani_of_Jhansi] and Hugh Rose [https://en.wikipedia.org/wiki/Rani_of_Jhansi].,1.0,1,correct
T03,Who was Rani Lakshmibai allied with during the revolt?,person,hybrid,Rani Lakshmibai was allied with Tantia Tope [https://en.wikipedia.org/wiki/Rani_of_Jhansi] and Morar [https://en.wikipedia.org/wiki/Central_Indian_campaign_of_1858]. She fought against Hugh Rose [https://en.wikipedia.org/wiki/Rani_of_Jhansi] and fought against the British East India Company [https://en.wikipedia.org/wiki/Rani_of_Jhansi].,1.0,3,correct
T03,Who was Rani Lakshmibai allied with during the revolt?,person,vector,"Rani Lakshmibai was allied with Tatya Tope, Morar, and the support of the rebels. [2, 3, 4] She also initially pledged loyalty to the British and offered much more to the rebels, who handed control of Jhansi to her. [4]",0.0,2,hallucinated
T04,Who led the Siege of Cawnpore?,person,graph,Nana Sahib led the Siege of Cawnpore. [https://en.wikipedia.org/wiki/Nana_Sahib],1.0,1,correct
T04,Who led the Siege of Cawnpore?,person,hybrid,Nana Sahib led the Siege of Cawnpore [https://en.wikipedia.org/wiki/Nana_Sahib].,1.0,1,correct
T04,Who led the Siege of Cawnpore?,person,vector,General Wheeler led the Siege of Cawnpore. (Source: [1]),0.0,1,hallucinated
T05,Who acted as regent of Awadh and led resistance at Lucknow?,person,graph,Begum Hazrat Mahal ruled Awadh and led resistance at Lucknow [https://en.wikipedia.org/wiki/Hazrat_Mahal].,0.0,1,partial
T05,Who acted as regent of Awadh and led resistance at Lucknow?,person,hybrid,"Begum Hazrat Mahal ruled Awadh and led resistance at Lucknow [https://en.wikipedia.org/wiki/Hazrat_Mahal]. Additionally, her son, Birjis Qadra, was crowned ruler following the rebellion’s defeat [https://en.wikipedia.org/wiki/Lucknow].",0.0,2,partial
T05,Who acted as regent of Awadh and led resistance at Lucknow?,person,vector,"Begum Hazrat Mahal acted as regent of Awadh and led resistance at Lucknow. (Source: [1], [3]) Wajid Ali Shah, the then Nawab, was exiled to Calcutta before the rebellion broke out, and his 14-year-old son Birjis Qadra was crowned ruler following the rebellion’s defeat. (Source: [3])",0.0,2,partial
T06,Who led the first relief of Lucknow?,person,graph,"Henry Havelock and James Outram led the First Relief of Lucknow. [https://en.wikipedia.org/wiki/James_Outram], [https://en.wikipedia.org/wiki/Henry_Havelock]",0.0,1,partial
T06,Who led the first relief of Lucknow?,person,hybrid,"Henry Havelock and James Outram led the First Relief of Lucknow [1, 2].",0.0,1,partial
T06,Who led the first relief of Lucknow?,person,vector,Sir Henry Havelock and Sir James Outram commanded the forces in the first relief of Lucknow. (Source: [1]),0.0,1,partial
T07,Who led the second and final relief of Lucknow?,person,graph,"Colin Campbell led the Second Relief of Lucknow [https://en.wikipedia.org/wiki/Colin_Campbell,_1st_Baron_Clyde].",1.0,1,correct
T07,Who led the second and final relief of Lucknow?,person,hybrid,Colin Campbell led the second relief of Lucknow [Source: [1]].,1.0,1,correct
T07,Who led the second and final relief of Lucknow?,person,vector,Sir Colin Campbell. [1],,0,partial
T08,Who captured Bahadur Shah II after the fall of Delhi?,person,graph,William Hodson captured Bahadur Shah II [https://en.wikipedia.org/wiki/William_Hodson].,1.0,1,correct
T08,Who captured Bahadur Shah II after the fall of Delhi?,person,hybrid,"The British. [2] indicates “On 14 September, the British captured the Kashmiri Gate and Bahadur Shah fled to Humayun’s Tomb before surrendering to the British (against Bakht Khan’s pleas) on 20 September.” Furthermore, [1] states “Bakht Khan himself left Delhi and joined rebel forces in Lucknow and Shahjahanpur.”",0.5,2,wrong
T08,Who captured Bahadur Shah II after the fall of Delhi?,person,vector,"The British captured Bahadur Shah II after the fall of Delhi (sources [2] and [4]). Specifically, on 20 September, the British arrested him after he surrendered (source [2]) and his sons were executed by the British in the aftermath of the city’s capture (source [2]).",0.0,2,hallucinated
T09,Who was declared emperor by the rebel sepoys in Delhi?,person,graph,Bahadur Shah II was declared emperor by the rebel sepoys in Delhi. [https://en.wikipedia.org/wiki/Bahadur_Shah_Zafar],0.0,1,partial
T09,Who was declared emperor by the rebel sepoys in Delhi?,person,hybrid,"Bahadur Shah II was declared emperor by the rebel sepoys in Delhi [1, 2, 5]. The context states: “Seeking a symbol around which to rally, the first sepoys to rebel sought to reinstate the power of the Mughal Empire, which had ruled much of the Indian subcontinent in the previous centuries. Lacking overall direction, many who subsequently rebelled also flocked to Delhi. This made the siege decisive for two reasons. Firstly, large numbers of rebels were committed to the defence of a single fixed point, perhaps to the detriment of their prospects elsewhere, and their defeat at Delhi was thus a very major military setback. Secondly, the British recapture of Delhi and the refusal of the aged Mughal Emperor Bahadur Shah II to continue the struggle deprived the rebellion of the nominal Mughal Emperor…” [1, 4, 5].",0.6666666666666666,6,correct
T09,Who was declared emperor by the rebel sepoys in Delhi?,person,vector,"The provided context states: “Seeking a symbol around which to rally, the first sepoys to rebel sought to reinstate the power of the Mughal Empire, which had ruled much of the Indian subcontinent in the previous centuries. Lacking overall direction, many who subsequently rebelled also flocked to Delhi. This made the siege decisive for two reasons. Firstly, large numbers of rebels were committed to the defence of a single fixed point, perhaps to the detriment of their prospects elsewhere, and their defeat at Delhi was thus a very major military setback. Secondly, the British recapture of Delhi and the refusal of the aged Mughal Emperor Bahadur Shah II to continue the struggle deprived the rebellion of the nominal Mughal Emperor” (Source: [3]).",0.8,5,correct
T10,Who commanded rebel forces in Delhi?,person,graph,Bahadur Shah II commanded rebel forces in Delhi. [https://en.wikipedia.org/wiki/Bahadur_Shah_Zafar],0.0,1,hallucinated
T10,Who commanded rebel forces in Delhi?,person,hybrid,Bahadur Shah II commanded rebel forces in Delhi [Source: [2]].,1.0,1,wrong
T10,Who commanded rebel forces in Delhi?,person,vector,"According to source [2], (alias Nabi Baksh) were arrested in Tijara. They were taken to Delhi and hanged. Source [4] states that seeking a symbol around which to rally, the first sepoys to rebel sought to reinstate the power of the Mughal Empire, which had ruled much of the Indian subcontinent in the previous centuries. Lacking overall direction, many who subsequently rebelled also flocked to Delhi. The aged Mughal Emperor Bahadur Shah II commanded rebel forces in Delhi.",0.6,5,wrong
T11,Who executed Tantia Tope?,person,graph,The British East India Company executed Tantia Tope. [https://en.wikipedia.org/wiki/Tantia_Tope],1.0,1,correct
T11,Who executed Tantia Tope?,person,hybrid,The British East India Company executed Tantia Tope [https://en.wikipedia.org/wiki/Tantia_Tope]. Source: [1],1.0,1,correct
T11,Who executed Tantia Tope?,person,vector,"According to source [2], “Tope admitted the charges brought before him, but noted that he might be held accountable only before his master, the Peshwa. He was executed on 18 April 1859 at Sipri.”",0.5,2,wrong
T12,Who besieged Jhansi in 1858?,person,graph,"Hugh Rose, the 1st Baron Strathnairn, besieged Jhansi [https://en.wikipedia.org/wiki/Hugh_Rose,_1st_Baron_Strathnairn].",0.0,1,partial
T12,Who besieged Jhansi in 1858?,person,hybrid,"Sir Hugh Rose besieged Jhansi in 1858. [1, 2, 4] Rose formed a military expedition and laid siege to Jhansi on 24 March 1858. [2] He defeated a relieving force under Tatya Tope at the Betwa on 1 April 1858. [4]",0.3333333333333333,3,partial
T12,Who besieged Jhansi in 1858?,person,vector,"Sir Hugh Rose besieged Jhansi in 1858. [2], [4] ",0.0,1,partial
T13,Who commanded the British forces that recaptured Delhi?,person,graph,The provided context does not contain enough information to answer this question.,,0,refused
T13,Who commanded the British forces that recaptured Delhi?,person,hybrid,"Lord Canning appointed by the British East India Company [https://en.wikipedia.org/wiki/Charles_Canning,_1st_Earl_Canning].",1.0,1,wrong
T13,Who commanded the British forces that recaptured Delhi?,person,vector,The provided context does not contain enough information to answer this question.,,0,refused
T14,Where did the Meerut Mutiny take place?,location,graph,The Meerut Mutiny --located_in--> Meerut [https://en.wikipedia.org/wiki/Indian_Rebellion_of_1857].,1.0,1,correct
T14,Where did the Meerut Mutiny take place?,location,hybrid,The Meerut Mutiny was located in Meerut [https://en.wikipedia.org/wiki/Indian_Rebellion_of_1857].,1.0,1,correct
T14,Where did the Meerut Mutiny take place?,location,vector,"The Meerut Mutiny took place in Meerut (Source [3]). It began in March 1857 in Barrackpore, Bengal, but reached Meerut, which was then the second-largest East India Company garrison, by April. On 24 April 1857, Colonel Carmichael Smyth paraded 90 Indian sepoys of the Bengal Cavalry, most of whom had come from Uttar Pradesh and Bihar, and ordered them to fire the new Enfield cartridges (Source [3]).",0.0,3,partial
T15,Where did the Siege of Lucknow take place?,location,graph,The Siege of Lucknow took place in Lucknow [https://en.wikipedia.org/wiki/Siege_of_Lucknow].,1.0,1,correct
T15,Where did the Siege of Lucknow take place?,location,hybrid,The Siege of Lucknow took place in Lucknow [https://en.wikipedia.org/wiki/Siege_of_Lucknow].,1.0,1,correct
T15,Where did the Siege of Lucknow take place?,location,vector,"The Siege of Lucknow took place within the city of Lucknow [1, 2, 4].",1.0,1,correct
T16,Where did the Massacre of Cawnpore take place?,location,graph,The Massacre of Cawnpore took place in Kanpur [https://en.wikipedia.org/wiki/Siege_of_Cawnpore].,1.0,1,correct
T16,Where did the Massacre of Cawnpore take place?,location,hybrid,"The Massacre of Cawnpore took place in Kanpur [https://en.wikipedia.org/wiki/Siege_of_Cawnpore]. [1, 2, 5]",1.0,1,correct
T16,Where did the Massacre of Cawnpore take place?,location,vector,"The massacre of Cawnpore took place in several locations, as described in sources [1] and [4]. Specifically:

*   “No one survived the massacre, 73 women and 124 children were killed.” (Source: [1])
*   “the surviving women and children were removed and held hostage to be later killed in the Bibighar massacre.” (Source: [1])
*   “their remains then thrown down a nearby well.” (Source: [1])
*   “around 200 British women and children captured by the rebels were butchered in what came to be known as the Bibi Ghar massacre” (Source: [4])",0.6,5,wrong
T17,Where did the Fall of Gwalior take place?,location,graph,The Fall of Gwalior took place in Gwalior [https://en.wikipedia.org/wiki/Central_Indian_campaign_of_1858].,1.0,1,correct
T17,Where did the Fall of Gwalior take place?,location,hybrid,The Fall of Gwalior took place in Gwalior [1].,1.0,1,correct
T17,Where did the Fall of Gwalior take place?,location,vector,"The Fall of Gwalior took place at Gwalior Fort. [1] The Maharaja of Gwalior’s troops capitulated after negotiations, and the battle was fought by Lakshmibai. [1]",0.5,2,correct
T18,Where did the Siege of Arrah take place?,location,graph,The Siege of Arrah took place in Arrah [https://en.wikipedia.org/wiki/Indian_Rebellion_of_1857].,1.0,1,correct
T18,Where did the Siege of Arrah take place?,location,hybrid,The Siege of Arrah took place in Arrah [https://en.wikipedia.org/wiki/Siege_of_Arrah]. It was the defence of a fortified outbuilding occupied by 18 civilians and 50 members of the Bengal Military Police Battalion [https://en.wikipedia.org/wiki/Siege_of_Arrah].,1.0,2,correct
T18,Where did the Siege of Arrah take place?,location,vector,"The Siege of Arrah took place in Arrah. [1, 4] It occurred within a fortified outbuilding occupied by 18 civilians and 50 members of the Bengal Military Police Battalion. [4]",1.0,2,correct
T19,Where was Rani Lakshmibai killed?,location,graph,The provided context states that Rani Lakshmibai died during the Fall of Gwalior [https://en.wikipedia.org/wiki/Rani_of_Jhansi].,1.0,1,correct
T19,Where was Rani Lakshmibai killed?,location,hybrid,"Rani Lakshmibai was killed in a cavalry action near Kotah-ke-Serai [Source: [1], [2]].",1.0,1,wrong
T19,Where was Rani Lakshmibai killed?,location,vector,Rani Lakshmi Bai was killed in a cavalry action near Kotah-ke-Serai [1].,1.0,1,wrong
T20,What caused the Meerut Mutiny?,cause,graph,The Meerut Mutiny was caused by the Greased Cartridge Incident [https://en.wikipedia.org/wiki/Indian_Rebellion_of_1857].,1.0,1,correct
T20,What caused the Meerut Mutiny?,cause,hybrid,"The Meerut Mutiny was caused by the Greased Cartridge Incident [https://en.wikipedia.org/wiki/Indian_Rebellion_of_1857] and unrest in Meerut itself, with angry protests and buildings being set on fire [https://en.wikipedia.org/wiki/Indian_Rebellion_of_1857].",1.0,2,correct
T20,What caused the Meerut Mutiny?,cause,vector,"The Meerut Mutiny was triggered by an event in March 1857, when Indian sepoy Mangal Pandey shot at two of his commanding officers, missed, then attempted suicide [3]. By April, Pandey’s uprising had spread across North India and reached Meerut, where Colonel Carmichael Smyth ordered the soldiers to fire the new Enfield cartridges [3]. The cartridges were covered with paper that Muslim soldiers believed contained grease from cows and pigs, which was offensive to their religious beliefs.",0.0,3,hallucinated
T21,What caused the Greased Cartridge Incident?,cause,graph,The Greased Cartridge Incident was caused by the Enfield Cartridge Issue [https://en.wikipedia.org/wiki/Pattern_1853_Enfield].,1.0,1,correct
T21,What caused the Greased Cartridge Incident?,cause,hybrid,"The Greased Cartridge Incident was caused by rumours that the Enfield rifle cartridges contained grease derived from cow tallow (offensive to Hindus) and pig lard (offensive to Muslims) [1, 2]. The idea of having anything tainted with animal fat in their mouths was unacceptable to the Indian soldiers, and when they objected it was suggested that they were more than welcome to make up their own batches of cartridges, using a religiously acceptable greasing agent such as ghee or vegetable oil [2]. [1]",0.5,2,wrong
T21,What caused the Greased Cartridge Incident?,cause,vector,"Rumours began circulating among sepoys that the grease used on the Pattern 1853 Enfield rifle cartridges was derived from cow tallow, offensive to Hindus, and pig lard, offensive to Muslims (Source: [1], [3]). Modern historians emphasize that it was the belief in these rumours, rather than the confirmed presence of animal fat, that inflamed tensions (Source: [1]). The idea of having anything which might be tainted with pig or beef fat in their mouths was unacceptable to the Indian soldiers, and when they objected it was suggested that they were more than welcome to make up their own batches of cartridges, using a religiously acceptable greasing agent such as ghee or vegetable oil (Source: [2]).",0.0,3,hallucinated
T22,What policy led to the annexation of Jhansi and Rani Lakshmibai's rebellion?,cause,graph,The provided context does not contain enough information to answer this question.,,0,refused
T22,What policy led to the annexation of Jhansi and Rani Lakshmibai's rebellion?,cause,hybrid,"The Doctrine of Lapse led to the annexation of Jhansi and Rani Lakshmibai’s rebellion. [https://en.wikipedia.org/wiki/Rani_of_Jhansi], [https://en.wikipedia.org/wiki/Indian_Rebellion_of_1857] Dalhousie issued a lengthy minute eleven days after Gangadhar Rao’s death characterizing his rule as one of decline and mismanagement, asserting that Jhansi and its people would benefit from direct British rule, and arguing that since the British had conquered the Marathas, Jhansi’s former overlords, the Company was now the “paramount power” with the authority to decide the succession.",0.0,2,partial
T22,What policy led to the annexation of Jhansi and Rani Lakshmibai's rebellion?,cause,vector,"The Doctrine of Lapse led to the annexation of Jhansi. [2], [4] This policy, issued by Dalhousie, asserted that if a ruler died without a male heir, their territory would automatically pass to the British. Rani Lakshmibai protested against this denial of succession when her adopted son Damodar Rao was not recognised as the rightful heir after the death of her husband, Gangadhar Rao. [2], [4]",0.3333333333333333,3,partial
T23,What caused the land revenue grievances among the population?,cause,graph,Land Revenue Grievances --caused_by--> British East India Company [https://en.wikipedia.org/wiki/Indian_Rebellion_of_1857],1.0,1,correct
T23,What caused the land revenue grievances among the population?,cause,hybrid,"Heavy land-revenue assessments imposed by the Company [1]. Many landowners were forced into debt or bankruptcy, creating deep resentment toward both the British and moneylenders who profited from these policies [1].",1.0,2,wrong
T23,What caused the land revenue grievances among the population?,cause,vector,"Heavy land-revenue assessments imposed by the Company contributed to widespread rural discontent. Many landowners were forced into debt or bankruptcy, creating deep resentment toward both the British and moneylenders who profited from these policies (Source: [1]). According to Biswamoy Pati, ed. 1857 Rebellion, Eric Stokes argues that those who suffered the greatest relative deprivation rebelled, and that the presence of prosperous magnates who supported British rule was a decisive factor in precipitating the revolt (Source: [3]).",0.5,4,wrong
T24,What caused the disbanding of sepoy regiments that refused orders?,cause,graph,The disbanding of Sepoy Regiments was caused by the British East India Company [https://en.wikipedia.org/wiki/Indian_Rebellion_of_1857].,0.0,1,partial
T24,What caused the disbanding of sepoy regiments that refused orders?,cause,hybrid,"The disbanding of sepoy regiments was caused by several factors, primarily due to the British East India Company’s actions following the cartridge crisis. Specifically, the 19th B.N.I. Regiment was disbanded on 31 March [1], and the 34th B.N.I. Regiment was disbanded “with disgrace” on 6 May [2]. The 34th B.N.I. was disbanded for failing to restrain a mutinous soldier and assist their officers. Additionally, the spread of mutinies, fueled by grievances over overseas service and the Enfield rifle cartridges, contributed to the overall situation [4].",0.25,4,partial
T24,What caused the disbanding of sepoy regiments that refused orders?,cause,vector,"The disbanding of sepoy regiments that refused orders resulted from several factors. Specifically, the 19th B.N.I. was disbanded “after an investigation which lasted nearly a month, recommended the disbanding” (Source [1]). The 34th B.N.I. Regiment was disbanded “with disgrace” after “failing to perform their duty in restraining a mutinous soldier and in assisting their officers” (Source [2]). These actions were collective punishments following investigations into their failure to follow orders. (Source [2])",0.5,4,wrong
T25,What was the East India Company's stated justification for annexing Awadh?,cause,graph,The provided context states that the Annexation of Awadh --caused_by--> British East India Company [https://en.wikipedia.org/wiki/Indian_Rebellion_of_1857].,1.0,1,wrong
T25,What was the East India Company's stated justification for annexing Awadh?,cause,hybrid,"The British East India Company annexed Awadh due to alleged maladministration [Source: [4]]. Additionally, according to [3], sepoys were disquieted from losing their perquisites in the Oudh courts and from the anticipation of increased land-revenue payments. [Source: [3]]",0.0,2,partial
T25,What was the East India Company's stated justification for annexing Awadh?,cause,vector,"The provided context states: “In 1856, the East India Company first moved its troops to the border, then annexed the state for alleged maladministration.” (Source: [4])",1.0,1,correct
T26,What event caused the Fall of Delhi?,event,graph,The Meerut Mutiny [https://en.wikipedia.org/wiki/Indian_Rebellion_of_1857] caused the Fall of Delhi.,1.0,1,correct
T26,What event caused the Fall of Delhi?,event,hybrid,The Fall of Delhi was caused by the Meerut Mutiny [https://en.wikipedia.org/wiki/Indian_Rebellion_of_1857].,1.0,1,correct
T26,What event caused the Fall of Delhi?,event,vector,"The siege of Delhi (1857) was a decisive conflict of the Indian Rebellion of 1857. The rebellion against the authority of the East India Company was widespread through much of Northern India, but was essentially sparked by the mass uprising by the sepoys of the Bengal Army, which the company had itself raised in its Bengal Presidency (https://en.wikipedia.org/wiki/Delhi). The British recapture of Delhi and the refusal of the aged Mughal Emperor Bahadur Shah II to continue the struggle deprived the rebellion (https://en.wikipedia.org/wiki/Siege_of_Delhi_(1857)). 

Additionally, Delhi fell to the British in September following the recapture of the city from the rebels (https://en.wikipedia.org/wiki/Siege_of_Delhi_(1857)).",0.25,4,hallucinated
T27,What organization was Mangal Pandey a member of?,event,graph,Mangal Pandey was a member of the Bengal Army [https://en.wikipedia.org/wiki/Mangal_Pandey].,1.0,1,correct
T27,What organization was Mangal Pandey a member of?,event,hybrid,Mangal Pandey was a member of the Bengal Army [https://en.wikipedia.org/wiki/Mangal_Pandey].,1.0,1,correct
T27,What organization was Mangal Pandey a member of?,event,vector,Mangal Pandey was a member of the 34th Regiment of the Bengal Native Infantry (BNI) [3]. He was a sepoy in this regiment [3].,1.0,2,wrong
T28,What organization was the Bengal Army part of?,event,graph,The Bengal Army was part of the British East India Company [https://en.wikipedia.org/wiki/Bengal_Army].,1.0,1,correct
T28,What organization was the Bengal Army part of?,event,hybrid,"The Bengal Army was part of the British East India Company [https://en.wikipedia.org/wiki/Bengal_Army]. It also belonged to the Bengal Presidency, one of the three presidencies of British India within the British Empire [https://en.wikipedia.org/wiki/Bengal_Army].",1.0,2,correct
T28,What organization was the Bengal Army part of?,event,vector,"The Bengal Army was part of the Bengal Presidency, one of the three presidencies of British India within the British Empire (https://en.wikipedia.org/wiki/Bengal_Army). It was initially part of the East India Company (EIC) until the Government of India Act 1858 transferred all three presidencies to the direct authority of the British Crown. In 1895 the three presidency armies were merged into the British Indian Army (https://en.wikipedia.org/wiki/Bengal_Army).",0.6666666666666666,3,wrong
T29,Which act transferred rule of India from the East India Company to the Crown?,aftermath,graph,The Government of India Act 1858 [https://en.wikipedia.org/wiki/Government_of_India_Act_1858] transferred rule of India from the British East India Company to the Government of India.,1.0,1,correct
T29,Which act transferred rule of India from the East India Company to the Crown?,aftermath,hybrid,"The Government of India Act 1858 [https://en.wikipedia.org/wiki/Government_of_India_Act_1858] transferred rule of India from the East India Company to the Crown. The context states: “The act ushered in a new period of Indian history, bringing about the end of Company rule in India. The era of the new British Raj would last until the Partition of India in August 1947…” and “The act is one of the most consequential pieces of legislation in the constitutional history of India: It formally ended the rule of the East India Company and transferred all powers, territories, and revenues of the Company to the British Crown…”",0.3333333333333333,3,partial
T29,Which act transferred rule of India from the East India Company to the Crown?,aftermath,vector,"The Government of India Act 1858 (https://en.wikipedia.org/wiki/Government_of_India_Act_1858) transferred rule of India from the East India Company to the Crown. The passage states: “The act ushered in a new period of Indian history, bringing about the end of Company rule in India. The era of the new British Raj would last until the Partition of India in August 1947, when the territory of India was granted dominion status as the Dominion of Pakistan and the Dominion of India.”",1.0,3,correct
T30,What war cry emerged in the aftermath of the Cawnpore massacre?,event,graph,The provided context does not contain enough information to answer this question.,,0,refused
T30,What war cry emerged in the aftermath of the Cawnpore massacre?,event,hybrid,“Remember Cawnpore!” (Source: [2]),,0,partial
T30,What war cry emerged in the aftermath of the Cawnpore massacre?,event,vector,"“Remember Cawnpore!” (Source: [1], [2])",,0,partial
